Date,Day,Shift,Class,Subject,Course,Code,Year
18-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Urdu,Fiction,A-136,1st
18-Mar-26,Wednesday,aditya,B.A.,Urdu,Prose,A-236,2nd
18-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Urdu,History of Urdu Literature & Criticism,A-336,3rd
18-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Foundation of Physical Education,S-101,1st
18-Mar-26,Wednesday,aditya,"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)","Health Education, Safely Education, First Aid and Rehabilitation",A-201,2nd
18-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Psychology & Sociology Physical Education & Sports,S-301,3rd
18-Mar-26,Wednesday,aditya,M.Com.,Commerce,Operation Research,I-301,
18-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Philosophy,Indian Philosophy,A-124,1st
18-Mar-26,Wednesday,aditya,B.A.,Philosophy,Ethics (Indian & Western),A-224,2nd
18-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Philosophy,VI Philosophy of Religion,A-424,3rd
19-Mar-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Hindi,Prachin Evam Madhyakaleen Kavya,A-113,1st
19-Mar-26,Thursday,aditya,B.A.,Hindi,Adhunik Hindi Kavya,A-213,2nd
19-Mar-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Hindi,Adhyatan Hindi Evam Kaurvi Lok Kavya,A-313,1st
